"sample_name","gene_name","value"
"Calb2_tdTpositive_cell_20","X0610007C21Rik",1019.04
"Calb2_tdTpositive_cell_21","X0610007C21Rik",455
"Calb2_tdTpositive_cell_22","X0610007C21Rik",532
"Calb2_tdTpositive_cell_23","X0610007C21Rik",0
"Calb2_tdTpositive_cell_24","X0610007C21Rik",949
"Calb2_tdTpositive_cell_25","X0610007C21Rik",1115
"Calb2_tdTpositive_cell_26","X0610007C21Rik",0
"Calb2_tdTpositive_cell_27","X0610007C21Rik",0
"Calb2_tdTpositive_cell_28","X0610007C21Rik",0
"Calb2_tdTpositive_cell_29","X0610007C21Rik",117
"Calb2_tdTpositive_cell_30","X0610007C21Rik",796
"Calb2_tdTpositive_cell_31","X0610007C21Rik",0
"Calb2_tdTpositive_cell_32","X0610007C21Rik",479
"Calb2_tdTpositive_cell_33","X0610007C21Rik",471
"Calb2_tdTpositive_cell_34","X0610007C21Rik",412
"Calb2_tdTpositive_cell_35","X0610007C21Rik",0
"Calb2_tdTpositive_cell_36","X0610007C21Rik",0
"Calb2_tdTpositive_cell_37","X0610007C21Rik",0
"Calb2_tdTpositive_cell_38","X0610007C21Rik",0
"Calb2_tdTpositive_cell_39","X0610007C21Rik",0
"Calb2_tdTpositive_cell_40","X0610007C21Rik",308
"Calb2_tdTpositive_cell_41","X0610007C21Rik",732
"Calb2_tdTpositive_cell_42","X0610007C21Rik",450
"Calb2_tdTpositive_cell_43","X0610007C21Rik",962.51
"Calb2_tdTpositive_cell_44","X0610007C21Rik",27
"Calb2_tdTpositive_cell_45","X0610007C21Rik",288
"Calb2_tdTpositive_cell_46","X0610007C21Rik",427
"Calb2_tdTpositive_cell_47","X0610007C21Rik",326
"Calb2_tdTpositive_cell_48","X0610007C21Rik",0
"Calb2_tdTpositive_cell_49","X0610007C21Rik",328.04
"Calb2_tdTpositive_cell_50","X0610007C21Rik",1013.63
"Calb2_tdTpositive_cell_51","X0610007C21Rik",0
"Calb2_tdTpositive_cell_52","X0610007C21Rik",0
"Calb2_tdTpositive_cell_53","X0610007C21Rik",1109
"Calb2_tdTpositive_cell_54","X0610007C21Rik",0
"Calb2_tdTpositive_cell_55","X0610007C21Rik",1654.01
"Calb2_tdTpositive_cell_56","X0610007C21Rik",76
"Calb2_tdTpositive_cell_57","X0610007C21Rik",0
"Calb2_tdTpositive_cell_58","X0610007C21Rik",0
"Calb2_tdTpositive_cell_59","X0610007C21Rik",295
"Calb2_tdTpositive_cell_60","X0610007C21Rik",344
"Calb2_tdTpositive_cell_61","X0610007C21Rik",428
"Calb2_tdTpositive_cell_62","X0610007C21Rik",199
"Calb2_tdTpositive_cell_63","X0610007C21Rik",296
"Calb2_tdTpositive_cell_64","X0610007C21Rik",680
"Chat_tdTpositive_cell_1","X0610007C21Rik",0
"Chat_tdTpositive_cell_2","X0610007C21Rik",443
"Chat_tdTpositive_cell_3","X0610007C21Rik",1457
"Chat_tdTpositive_cell_4","X0610007C21Rik",4
"Chat_tdTpositive_cell_5","X0610007C21Rik",2.08
"Chat_tdTpositive_cell_6","X0610007C21Rik",2966
"Chrna2_tdTpositive_cell_1","X0610007C21Rik",414
"Chrna2_tdTpositive_cell_2","X0610007C21Rik",900.02
"Chrna2_tdTpositive_cell_3","X0610007C21Rik",104
"Chrna2_tdTpositive_cell_4","X0610007C21Rik",555
"Chrna2_tdTpositive_cell_5","X0610007C21Rik",0
"Chrna2_tdTpositive_cell_6","X0610007C21Rik",1
"Chrna2_tdTpositive_cell_7","X0610007C21Rik",296.74
"Chrna2_tdTpositive_cell_8","X0610007C21Rik",1024.66
"Chrna2_tdTpositive_cell_9","X0610007C21Rik",327
"Chrna2_tdTpositive_cell_10","X0610007C21Rik",524.98
"Chrna2_tdTpositive_cell_11","X0610007C21Rik",439
"Chrna2_tdTpositive_cell_12","X0610007C21Rik",421
"Chrna2_tdTpositive_cell_13","X0610007C21Rik",89
"Chrna2_tdTpositive_cell_14","X0610007C21Rik",5599.56
"Chrna2_tdTpositive_cell_15","X0610007C21Rik",554.89
"Chrna2_tdTpositive_cell_16","X0610007C21Rik",589
"Chrna2_tdTpositive_cell_17","X0610007C21Rik",639
"Chrna2_tdTpositive_cell_18","X0610007C21Rik",303
"Chrna2_tdTpositive_cell_19","X0610007C21Rik",210
"Chrna2_tdTpositive_cell_20","X0610007C21Rik",545
"Chrna2_tdTpositive_cell_21","X0610007C21Rik",1890.91
"Chrna2_tdTpositive_cell_22","X0610007C21Rik",138.97
"Chrna2_tdTpositive_cell_23","X0610007C21Rik",368
"Chrna2_tdTpositive_cell_24","X0610007C21Rik",362.04
"Chrna2_tdTpositive_cell_25","X0610007C21Rik",483
"Chrna2_tdTpositive_cell_26","X0610007C21Rik",1306.63
"Chrna2_tdTpositive_cell_27","X0610007C21Rik",594
"Chrna2_tdTpositive_cell_28","X0610007C21Rik",669
"Chrna2_tdTpositive_cell_29","X0610007C21Rik",113
"Chrna2_tdTpositive_cell_30","X0610007C21Rik",593
"Calb2_tdTpositive_cell_1","X0610007L01Rik",2.57
"Calb2_tdTpositive_cell_2","X0610007L01Rik",177
"Calb2_tdTpositive_cell_3","X0610007L01Rik",0
"Calb2_tdTpositive_cell_4","X0610007L01Rik",1
"Calb2_tdTpositive_cell_5","X0610007L01Rik",2
"Calb2_tdTpositive_cell_6","X0610007L01Rik",3
"Calb2_tdTpositive_cell_7","X0610007L01Rik",3040.99
"Calb2_tdTpositive_cell_8","X0610007L01Rik",101
"Calb2_tdTpositive_cell_9","X0610007L01Rik",0
"Calb2_tdTpositive_cell_10","X0610007L01Rik",1042
"Calb2_tdTpositive_cell_11","X0610007L01Rik",0
"Calb2_tdTpositive_cell_12","X0610007L01Rik",200
"Calb2_tdTpositive_cell_13","X0610007L01Rik",0
"Calb2_tdTpositive_cell_14","X0610007L01Rik",354.97
"Calb2_tdTpositive_cell_15","X0610007L01Rik",3294.23
"Calb2_tdTpositive_cell_16","X0610007L01Rik",1
"Calb2_tdTpositive_cell_17","X0610007L01Rik",539.96
"Calb2_tdTpositive_cell_18","X0610007L01Rik",197
"Calb2_tdTpositive_cell_19","X0610007L01Rik",96
"Calb2_tdTpositive_cell_20","X0610007L01Rik",0
"Calb2_tdTpositive_cell_21","X0610007L01Rik",0
"Calb2_tdTpositive_cell_22","X0610007L01Rik",0
"Calb2_tdTpositive_cell_23","X0610007L01Rik",994
"Calb2_tdTpositive_cell_24","X0610007L01Rik",0
"Calb2_tdTpositive_cell_25","X0610007L01Rik",0
"Calb2_tdTpositive_cell_26","X0610007L01Rik",500
"Calb2_tdTpositive_cell_27","X0610007L01Rik",1181.08
"Calb2_tdTpositive_cell_28","X0610007L01Rik",528
"Calb2_tdTpositive_cell_29","X0610007L01Rik",0
"Calb2_tdTpositive_cell_30","X0610007L01Rik",322
"Calb2_tdTpositive_cell_31","X0610007L01Rik",588
"Calb2_tdTpositive_cell_32","X0610007L01Rik",0
"Calb2_tdTpositive_cell_33","X0610007L01Rik",50
"Calb2_tdTpositive_cell_34","X0610007L01Rik",794
"Calb2_tdTpositive_cell_35","X0610007L01Rik",0
"Calb2_tdTpositive_cell_36","X0610007L01Rik",0
"Calb2_tdTpositive_cell_37","X0610007L01Rik",435
"Calb2_tdTpositive_cell_38","X0610007L01Rik",0
"Calb2_tdTpositive_cell_39","X0610007L01Rik",0
"Calb2_tdTpositive_cell_40","X0610007L01Rik",0
"Calb2_tdTpositive_cell_41","X0610007L01Rik",0
"Calb2_tdTpositive_cell_42","X0610007L01Rik",0
"Calb2_tdTpositive_cell_43","X0610007L01Rik",0
"Calb2_tdTpositive_cell_44","X0610007L01Rik",1040
"Calb2_tdTpositive_cell_45","X0610007L01Rik",0
"Calb2_tdTpositive_cell_46","X0610007L01Rik",0
"Calb2_tdTpositive_cell_47","X0610007L01Rik",0
"Calb2_tdTpositive_cell_48","X0610007L01Rik",0
"Calb2_tdTpositive_cell_49","X0610007L01Rik",110
"Calb2_tdTpositive_cell_50","X0610007L01Rik",0
"Calb2_tdTpositive_cell_51","X0610007L01Rik",520
"Calb2_tdTpositive_cell_52","X0610007L01Rik",73
"Calb2_tdTpositive_cell_53","X0610007L01Rik",0
"Calb2_tdTpositive_cell_54","X0610007L01Rik",0
"Calb2_tdTpositive_cell_55","X0610007L01Rik",0
"Calb2_tdTpositive_cell_56","X0610007L01Rik",542.82
"Calb2_tdTpositive_cell_57","X0610007L01Rik",0
"Calb2_tdTpositive_cell_58","X0610007L01Rik",0
"Calb2_tdTpositive_cell_59","X0610007L01Rik",2
"Calb2_tdTpositive_cell_60","X0610007L01Rik",30
"Calb2_tdTpositive_cell_61","X0610007L01Rik",0
"Calb2_tdTpositive_cell_62","X0610007L01Rik",56
"Calb2_tdTpositive_cell_63","X0610007L01Rik",0
"Calb2_tdTpositive_cell_64","X0610007L01Rik",0
"Chat_tdTpositive_cell_1","X0610007L01Rik",0
"Chat_tdTpositive_cell_2","X0610007L01Rik",0
"Chat_tdTpositive_cell_3","X0610007L01Rik",0
"Chat_tdTpositive_cell_4","X0610007L01Rik",12
"Chat_tdTpositive_cell_5","X0610007L01Rik",115
"Chat_tdTpositive_cell_6","X0610007L01Rik",2
"Chrna2_tdTpositive_cell_1","X0610007L01Rik",1137
"Chrna2_tdTpositive_cell_2","X0610007L01Rik",0
"Chrna2_tdTpositive_cell_3","X0610007L01Rik",0
"Chrna2_tdTpositive_cell_4","X0610007L01Rik",229
"Chrna2_tdTpositive_cell_5","X0610007L01Rik",0
"Chrna2_tdTpositive_cell_6","X0610007L01Rik",0
"Chrna2_tdTpositive_cell_7","X0610007L01Rik",0
"Chrna2_tdTpositive_cell_8","X0610007L01Rik",7
"Chrna2_tdTpositive_cell_9","X0610007L01Rik",0
"Chrna2_tdTpositive_cell_10","X0610007L01Rik",0
"Chrna2_tdTpositive_cell_11","X0610007L01Rik",358
"Chrna2_tdTpositive_cell_12","X0610007L01Rik",478
"Chrna2_tdTpositive_cell_13","X0610007L01Rik",0
"Chrna2_tdTpositive_cell_14","X0610007L01Rik",0
"Chrna2_tdTpositive_cell_15","X0610007L01Rik",0
"Chrna2_tdTpositive_cell_16","X0610007L01Rik",0
"Chrna2_tdTpositive_cell_17","X0610007L01Rik",391
"Chrna2_tdTpositive_cell_18","X0610007L01Rik",1
"Chrna2_tdTpositive_cell_19","X0610007L01Rik",1795
"Chrna2_tdTpositive_cell_20","X0610007L01Rik",0
"Chrna2_tdTpositive_cell_21","X0610007L01Rik",698.02
"Chrna2_tdTpositive_cell_22","X0610007L01Rik",0
"Chrna2_tdTpositive_cell_23","X0610007L01Rik",1
"Chrna2_tdTpositive_cell_24","X0610007L01Rik",0
"Chrna2_tdTpositive_cell_25","X0610007L01Rik",0
"Chrna2_tdTpositive_cell_26","X0610007L01Rik",1
"Chrna2_tdTpositive_cell_27","X0610007L01Rik",0
"Chrna2_tdTpositive_cell_28","X0610007L01Rik",0
"Chrna2_tdTpositive_cell_29","X0610007L01Rik",259
"Chrna2_tdTpositive_cell_30","X0610007L01Rik",908
"Calb2_tdTpositive_cell_1","X0610007N19Rik",0
"Calb2_tdTpositive_cell_2","X0610007N19Rik",0
"Calb2_tdTpositive_cell_3","X0610007N19Rik",0
"Calb2_tdTpositive_cell_4","X0610007N19Rik",0
"Calb2_tdTpositive_cell_5","X0610007N19Rik",0
"Calb2_tdTpositive_cell_6","X0610007N19Rik",0
"Calb2_tdTpositive_cell_7","X0610007N19Rik",0
"Calb2_tdTpositive_cell_8","X0610007N19Rik",0
"Calb2_tdTpositive_cell_9","X0610007N19Rik",0
"Calb2_tdTpositive_cell_10","X0610007N19Rik",0
"Calb2_tdTpositive_cell_11","X0610007N19Rik",0
"Calb2_tdTpositive_cell_12","X0610007N19Rik",0
"Calb2_tdTpositive_cell_13","X0610007N19Rik",0
"Calb2_tdTpositive_cell_14","X0610007N19Rik",0
"Calb2_tdTpositive_cell_15","X0610007N19Rik",0
"Calb2_tdTpositive_cell_16","X0610007N19Rik",0
"Calb2_tdTpositive_cell_17","X0610007N19Rik",0
"Calb2_tdTpositive_cell_18","X0610007N19Rik",0
"Calb2_tdTpositive_cell_19","X0610007N19Rik",0
"Calb2_tdTpositive_cell_20","X0610007N19Rik",0
"Calb2_tdTpositive_cell_21","X0610007N19Rik",0
"Calb2_tdTpositive_cell_22","X0610007N19Rik",0
"Calb2_tdTpositive_cell_23","X0610007N19Rik",0
"Calb2_tdTpositive_cell_24","X0610007N19Rik",0
"Calb2_tdTpositive_cell_25","X0610007N19Rik",0
"Calb2_tdTpositive_cell_26","X0610007N19Rik",0
"Calb2_tdTpositive_cell_27","X0610007N19Rik",0
"Calb2_tdTpositive_cell_28","X0610007N19Rik",0
"Calb2_tdTpositive_cell_29","X0610007N19Rik",0
"Calb2_tdTpositive_cell_30","X0610007N19Rik",0
"Calb2_tdTpositive_cell_31","X0610007N19Rik",0
"Calb2_tdTpositive_cell_32","X0610007N19Rik",0
"Calb2_tdTpositive_cell_33","X0610007N19Rik",0
"Calb2_tdTpositive_cell_34","X0610007N19Rik",0
"Calb2_tdTpositive_cell_35","X0610007N19Rik",0
"Calb2_tdTpositive_cell_36","X0610007N19Rik",0
"Calb2_tdTpositive_cell_37","X0610007N19Rik",0
"Calb2_tdTpositive_cell_38","X0610007N19Rik",0
"Calb2_tdTpositive_cell_39","X0610007N19Rik",0
"Calb2_tdTpositive_cell_40","X0610007N19Rik",0
"Calb2_tdTpositive_cell_41","X0610007N19Rik",0
"Calb2_tdTpositive_cell_42","X0610007N19Rik",0
"Calb2_tdTpositive_cell_43","X0610007N19Rik",0
"Calb2_tdTpositive_cell_44","X0610007N19Rik",0
"Calb2_tdTpositive_cell_45","X0610007N19Rik",0
"Calb2_tdTpositive_cell_46","X0610007N19Rik",0
"Calb2_tdTpositive_cell_47","X0610007N19Rik",0
"Calb2_tdTpositive_cell_48","X0610007N19Rik",0
"Calb2_tdTpositive_cell_49","X0610007N19Rik",0
"Calb2_tdTpositive_cell_50","X0610007N19Rik",0
"Calb2_tdTpositive_cell_51","X0610007N19Rik",0
"Calb2_tdTpositive_cell_52","X0610007N19Rik",0
"Calb2_tdTpositive_cell_53","X0610007N19Rik",0
"Calb2_tdTpositive_cell_54","X0610007N19Rik",0
"Calb2_tdTpositive_cell_55","X0610007N19Rik",0
"Calb2_tdTpositive_cell_56","X0610007N19Rik",0
"Calb2_tdTpositive_cell_57","X0610007N19Rik",0
"Calb2_tdTpositive_cell_58","X0610007N19Rik",0
"Calb2_tdTpositive_cell_59","X0610007N19Rik",50.54
"Calb2_tdTpositive_cell_60","X0610007N19Rik",0
"Calb2_tdTpositive_cell_61","X0610007N19Rik",0
"Calb2_tdTpositive_cell_62","X0610007N19Rik",0
"Calb2_tdTpositive_cell_63","X0610007N19Rik",0
"Calb2_tdTpositive_cell_64","X0610007N19Rik",0
"Chat_tdTpositive_cell_1","X0610007N19Rik",0
"Chat_tdTpositive_cell_2","X0610007N19Rik",0
"Chat_tdTpositive_cell_3","X0610007N19Rik",0
"Chat_tdTpositive_cell_4","X0610007N19Rik",0
"Chat_tdTpositive_cell_5","X0610007N19Rik",0
"Chat_tdTpositive_cell_6","X0610007N19Rik",0
"Chrna2_tdTpositive_cell_1","X0610007N19Rik",0
"Chrna2_tdTpositive_cell_2","X0610007N19Rik",0
"Chrna2_tdTpositive_cell_3","X0610007N19Rik",0
"Chrna2_tdTpositive_cell_4","X0610007N19Rik",0
"Chrna2_tdTpositive_cell_5","X0610007N19Rik",0
"Chrna2_tdTpositive_cell_6","X0610007N19Rik",0
"Chrna2_tdTpositive_cell_7","X0610007N19Rik",0
"Chrna2_tdTpositive_cell_8","X0610007N19Rik",0
"Chrna2_tdTpositive_cell_9","X0610007N19Rik",0
"Chrna2_tdTpositive_cell_10","X0610007N19Rik",0
"Chrna2_tdTpositive_cell_11","X0610007N19Rik",0
"Chrna2_tdTpositive_cell_12","X0610007N19Rik",0
"Chrna2_tdTpositive_cell_13","X0610007N19Rik",0
"Chrna2_tdTpositive_cell_14","X0610007N19Rik",0
"Chrna2_tdTpositive_cell_15","X0610007N19Rik",0
"Chrna2_tdTpositive_cell_16","X0610007N19Rik",0
"Chrna2_tdTpositive_cell_17","X0610007N19Rik",0
"Chrna2_tdTpositive_cell_18","X0610007N19Rik",0
"Chrna2_tdTpositive_cell_19","X0610007N19Rik",0
"Chrna2_tdTpositive_cell_20","X0610007N19Rik",0
"Chrna2_tdTpositive_cell_21","X0610007N19Rik",0
"Chrna2_tdTpositive_cell_22","X0610007N19Rik",0
"Chrna2_tdTpositive_cell_23","X0610007N19Rik",0
"Chrna2_tdTpositive_cell_24","X0610007N19Rik",0
"Chrna2_tdTpositive_cell_25","X0610007N19Rik",0
"Chrna2_tdTpositive_cell_26","X0610007N19Rik",0
"Chrna2_tdTpositive_cell_27","X0610007N19Rik",0
"Chrna2_tdTpositive_cell_28","X0610007N19Rik",0
"Chrna2_tdTpositive_cell_29","X0610007N19Rik",0
"Chrna2_tdTpositive_cell_30","X0610007N19Rik",0
"Calb2_tdTpositive_cell_1","X0610007P08Rik",0
"Calb2_tdTpositive_cell_2","X0610007P08Rik",0
"Calb2_tdTpositive_cell_3","X0610007P08Rik",0
"Calb2_tdTpositive_cell_4","X0610007P08Rik",0
"Calb2_tdTpositive_cell_5","X0610007P08Rik",0
"Calb2_tdTpositive_cell_6","X0610007P08Rik",0
"Calb2_tdTpositive_cell_7","X0610007P08Rik",17.03
"Calb2_tdTpositive_cell_8","X0610007P08Rik",0
"Calb2_tdTpositive_cell_9","X0610007P08Rik",0
"Calb2_tdTpositive_cell_10","X0610007P08Rik",0
"Calb2_tdTpositive_cell_11","X0610007P08Rik",0
"Calb2_tdTpositive_cell_12","X0610007P08Rik",0
"Calb2_tdTpositive_cell_13","X0610007P08Rik",3
"Calb2_tdTpositive_cell_14","X0610007P08Rik",227.99
"Calb2_tdTpositive_cell_15","X0610007P08Rik",0
"Calb2_tdTpositive_cell_16","X0610007P08Rik",0
"Calb2_tdTpositive_cell_17","X0610007P08Rik",0
"Calb2_tdTpositive_cell_18","X0610007P08Rik",0
"Calb2_tdTpositive_cell_19","X0610007P08Rik",498
"Calb2_tdTpositive_cell_20","X0610007P08Rik",0
"Calb2_tdTpositive_cell_21","X0610007P08Rik",0
"Calb2_tdTpositive_cell_22","X0610007P08Rik",17
"Calb2_tdTpositive_cell_23","X0610007P08Rik",0
"Calb2_tdTpositive_cell_24","X0610007P08Rik",0
"Calb2_tdTpositive_cell_25","X0610007P08Rik",0
"Calb2_tdTpositive_cell_26","X0610007P08Rik",0
"Calb2_tdTpositive_cell_27","X0610007P08Rik",0
"Calb2_tdTpositive_cell_28","X0610007P08Rik",0
"Calb2_tdTpositive_cell_29","X0610007P08Rik",0
"Calb2_tdTpositive_cell_30","X0610007P08Rik",34
"Calb2_tdTpositive_cell_31","X0610007P08Rik",0
"Calb2_tdTpositive_cell_32","X0610007P08Rik",7
"Calb2_tdTpositive_cell_33","X0610007P08Rik",0
"Calb2_tdTpositive_cell_34","X0610007P08Rik",0
"Calb2_tdTpositive_cell_35","X0610007P08Rik",412
"Calb2_tdTpositive_cell_36","X0610007P08Rik",811
"Calb2_tdTpositive_cell_37","X0610007P08Rik",834.05
"Calb2_tdTpositive_cell_38","X0610007P08Rik",0
"Calb2_tdTpositive_cell_39","X0610007P08Rik",454
"Calb2_tdTpositive_cell_40","X0610007P08Rik",1675
"Calb2_tdTpositive_cell_41","X0610007P08Rik",1
"Calb2_tdTpositive_cell_42","X0610007P08Rik",0
"Calb2_tdTpositive_cell_43","X0610007P08Rik",0
"Calb2_tdTpositive_cell_44","X0610007P08Rik",0
"Calb2_tdTpositive_cell_45","X0610007P08Rik",0
"Calb2_tdTpositive_cell_46","X0610007P08Rik",0
"Calb2_tdTpositive_cell_47","X0610007P08Rik",0
"Calb2_tdTpositive_cell_48","X0610007P08Rik",1
"Calb2_tdTpositive_cell_49","X0610007P08Rik",0
"Calb2_tdTpositive_cell_50","X0610007P08Rik",46.07
"Calb2_tdTpositive_cell_51","X0610007P08Rik",0
"Calb2_tdTpositive_cell_52","X0610007P08Rik",0
"Calb2_tdTpositive_cell_53","X0610007P08Rik",0
"Calb2_tdTpositive_cell_54","X0610007P08Rik",0
"Calb2_tdTpositive_cell_55","X0610007P08Rik",0
"Calb2_tdTpositive_cell_56","X0610007P08Rik",0
"Calb2_tdTpositive_cell_57","X0610007P08Rik",0
"Calb2_tdTpositive_cell_58","X0610007P08Rik",8
"Calb2_tdTpositive_cell_59","X0610007P08Rik",0
